Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
Deikoon,5638,2452231.7682,20.0,0.05,18.59,0.02,18.02,0.02,17.85,0.02,17.68,0.02,18.25,5.2366157275736,0.1063896520557338,10.91517596992865,4.856,5.702000000000001,5.58,10.0,0.15,12.788470544796786,11.378470544796786,10.808470544796787,10.638470544796787,10.468470544796787,11.057370544796786
1986_TR6,6545,2451960.84222,18.93,0.03,17.55,0.02,16.96,0.01,16.68,0.01,16.53,0.01,17.2,5.161053285348404,0.05270258041670628,11.98048820455724,4.0760000000000005,5.0360000000000005,2.99,10.0,0.15,12.368400516148933,10.988400516148932,10.398400516148932,10.118400516148933,9.968400516148932,10.656033849482263
Laomedon,6997,2451465.66831,20.13,0.05,18.7,0.01,18.09,0.01,17.8,0.01,17.71,0.02,18.33,5.178619505542558,0.102063818197305,19.120605103324486,4.44,5.053,9.53,10.5,0.15,13.375338658235748,11.945338658235748,11.335338658235747,11.04533865823575,10.95533865823575,11.601705324902413
Tithonus,6998,2453766.88444,21.17,0.1,19.69,0.03,19.09,0.03,18.8,0.02,18.65,0.03,19.34,5.177610790756835,0.07141285552203523,1.729965826733373,4.552,5.502999999999999,2.94,11.3,0.15,14.175991169009144,12.695991169009144,12.095991169009144,11.805991169009145,11.655991169009145,12.357991169009145
Antielus,7214,2451962.86515,20.47,0.06,18.96,0.02,18.43,0.01,18.26,0.02,18.16,0.03,18.64,5.195248618191493,0.03565542453247534,13.4450105262589,4.181,5.155,2.15,12.3,0.15,13.802455814150248,12.29245581415025,11.762455814150247,11.59245581415025,11.492455814150247,11.993889147483582
1994_CO,7352,2453684.99348,20.12,0.05,18.48,0.01,17.92,0.02,17.7,0.02,17.63,0.02,18.15,5.126275622811573,0.03735893872815869,8.183602497362081,5.202000000000001,5.271,10.82,9.0,0.15,12.929683179625945,11.289683179625944,10.729683179625946,10.509683179625943,10.439683179625943,10.97421651295928
1986_TT6,7641,2453526.84147,18.7,0.03,17.28,0.01,16.66,0.01,16.42,0.01,16.24,0.01,16.91,5.215334855321217,0.0544799722367981,34.69262899250334,4.455,5.452999999999999,2.14,9.3,0.15,11.772583969701426,10.352583969701428,9.732583969701427,9.492583969701426,9.312583969701423,10.003317303034759
Dolon,7815,2453439.66787,19.86,0.04,18.27,0.03,17.73,0.01,17.54,0.02,17.41,0.03,17.95,5.264915977313207,0.06026372880255175,20.368467035007328,4.699,5.468999999999999,7.09,10.4,0.15,12.810433158012048,11.220433158012046,10.680433158012047,10.490433158012047,10.360433158012047,10.916233158012046
Dolon,7815,2453441.66172,19.87,0.03,18.34,0.01,17.82,0.02,17.61,0.02,17.47,0.02,18.03,5.264915977313207,0.06026372880255175,20.368467035007328,4.721,5.47,7.38,10.4,0.15,12.809893366176572,11.279893366176571,10.759893366176572,10.54989336617657,10.40989336617657,10.986960032843237
Agrius,8241,2452345.74734,20.0,0.05,18.56,0.01,18.02,0.03,17.85,0.02,17.73,0.03,18.24,5.160354429973737,0.04222854663719573,4.341731434725077,4.232,5.216,1.62,11.3,0.15,13.280583791245036,11.840583791245036,11.300583791245035,11.130583791245035,11.010583791245034,11.536383791245036
1989_UX5,9030,2453522.65627,21.07,0.12,19.75,0.02,19.13,0.02,18.86,0.02,18.7,0.04,19.39,5.3180918136867525,0.015580602578117568,4.22092000581122,5.175,5.124,11.29,11.5,0.15,13.952402623991981,12.63240262399198,12.012402623991976,11.742402623991977,11.582402623991976,12.283135957325316
1989_UX5,9030,2453525.65136,20.75,0.11,19.36,0.02,18.73,0.01,18.52,0.02,18.3,0.04,18.99,5.3180918136867525,0.015580602578117568,4.22092000581122,5.221,5.125,11.21,11.5,0.15,13.612762185307465,12.222762185307465,11.592762185307464,11.382762185307465,11.162762185307463,11.867862185307464
Rhesus,9142,2453766.8696,20.18,0.06,18.74,0.03,18.18,0.02,17.96,0.02,17.83,0.05,18.41,5.1593913032170144,0.1308445946910621,12.80782327453431,4.895,5.864,1.92,10.6,0.15,12.890266711138857,11.450266711138857,10.890266711138857,10.67026671113886,10.540266711138855,11.13480004447219
